scraper_name,min_date,max_date,total,scraper_type,development status,deployment,id,domain,memo,Total,Last,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Completed Flag,,New,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage,Change,Scraped,Downloaded,Scraped_Percentage,Downloaded_Percentage, 
Argyll,2002-01-15,2024-02-15,42344,Idox,Scraper Gen2 (Civica 4), ,10,, ,42200.0,,41354,40013,98.00%,94.82%,,-,,41354,40013,98.00%,94.82%,,0.0,0.0,0.00%,0.00%,
ArmaghBanbridgeCraigavon,1999-03-26,2024-02-16,53216,NIPortal,, ,11,, ,53108.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Arun,2000-01-04,2024-02-14,48852,Ocella,, ,12,, ,48617.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Ashfield,2000-01-04,2024-02-15,22600,CivicaJson,, ,13,planning.ashfield.gov.uk, ,22519.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Ashford,1999-01-17,2024-02-14,54355,Custom,, ,14,, ,54122.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
AylesburyVale,2002-11-27,2024-02-15,70897,Idox,Scraper Gen1 (IP rotation 5),part,15,publicaccess.aylesburyvaledc.gov.uk, ,70491.0,,69901,33788,99.16%,47.93%,,- final check,,69919,33788,99.19%,47.93%,,18.0,0.0,0.03%,0.00%,
BaberghMidSuffolk,2001-10-11,2024-02-14,85581,Idox,Scraper Gen1, ,16,, ,85088.0,,84937,83497,99.82%,98.13%,1,-,,84937,83497,99.82%,98.13%,,0.0,0.0,0.00%,0.00%,
Barking,1999-12-29,2024-02-14,31569,Tascomi,, ,17,, ,31371.0,,0,0,0.00%,0.00%,,,,0,0,0.00%,0.00%,,0.0,0.0,0.00%,0.00%,
Barnet,2000-01-01,2024-02-15,161260,Idox,Scraper Gen1 (IP rotation 7),part,18,publicaccess.barnet.gov.uk, ,159553.0,,159066,151470,99.69%,94.93%,,- final check,,159084,151470,99.71%,94.93%,,18.0,0.0,0.01%,0.00%,
Barnsley,1999-01-05,2024-02-14,32310,PlanningExplorer,, ,19,, ,31988.0,,28094,22819,87.83%,71.34%,,,,28094,22819,87.83%,71.34%,,0.0,0.0,0.00%,0.00%,
